id, combatant_count, run_number, seconds_taken
347, 700, 47, 1.189
348, 700, 48, 1.147
349, 700, 49, 1.194
350, 700, 50, 1.281
351, 700, 51, 1.259
352, 700, 52, 1.124
353, 700, 53, 1.293
354, 700, 54, 1.423
355, 700, 55, 1.74
356, 700, 56, 1.462
357, 700, 57, 1.271
358, 700, 58, 1.101
359, 700, 59, 1.163
360, 700, 60, 1.238
361, 700, 61, 1.383
362, 700, 62, 1.39
363, 700, 63, 1.401
364, 700, 64, 1.795
365, 700, 65, 1.48
366, 700, 66, 1.253
367, 700, 67, 1.636
368, 700, 68, 1.52
369, 700, 69, 1.451
370, 700, 70, 1.322
371, 700, 71, 1.534
372, 700, 72, 1.394
373, 700, 73, 1.467
374, 700, 74, 1.733
375, 700, 75, 1.531
376, 700, 76, 1.457
377, 700, 77, 1.606
378, 700, 78, 1.301
379, 700, 79, 1.293
380, 700, 80, 1.713
381, 700, 81, 1.559
382, 700, 82, 1.705
383, 700, 83, 1.435
384, 700, 84, 2.071
385, 700, 85, 2.154
386, 700, 86, 3.131
387, 700, 87, 1.919
388, 700, 88, 1.565
389, 700, 89, 1.745
390, 700, 90, 1.506
391, 700, 91, 1.364
392, 700, 92, 1.386
393, 700, 93, 1.131
394, 700, 94, 1.241
395, 700, 95, 1.343
396, 700, 96, 1.534
397, 700, 97, 1.279
398, 700, 98, 1.33
399, 700, 99, 1.294
400, 1000, 0, 2.65
401, 1000, 1, 3.001
402, 1000, 2, 2.916
403, 1000, 3, 2.936
404, 1000, 4, 2.748
405, 1000, 5, 3.151
406, 1000, 6, 3.846
407, 1000, 7, 2.885
408, 1000, 8, 3.876
409, 1000, 9, 3.291
410, 1000, 10, 2.991
411, 1000, 11, 3.551
412, 1000, 12, 2.901
413, 1000, 13, 2.562
414, 1000, 14, 3.445
415, 1000, 15, 2.558
416, 1000, 16, 3.055
417, 1000, 17, 2.459
418, 1000, 18, 2.476
419, 1000, 19, 2.558
420, 1000, 20, 2.483
421, 1000, 21, 2.484
422, 1000, 22, 2.434
423, 1000, 23, 2.487
424, 1000, 24, 2.454
425, 1000, 25, 2.372
426, 1000, 26, 2.459
427, 1000, 27, 2.342
428, 1000, 28, 2.441
429, 1000, 29, 2.635
430, 1000, 30, 2.58
431, 1000, 31, 2.413
432, 1000, 32, 2.56
433, 1000, 33, 2.418
434, 1000, 34, 2.567
435, 1000, 35, 3.187
436, 1000, 36, 2.971
437, 1000, 37, 2.899
438, 1000, 38, 2.969
439, 1000, 39, 2.974
440, 1000, 40, 2.969
441, 1000, 41, 3.016
442, 1000, 42, 2.868
443, 1000, 43, 2.981
444, 1000, 44, 3.046
445, 1000, 45, 3.071
446, 1000, 46, 2.961
447, 1000, 47, 2.842
448, 1000, 48, 3.306
449, 1000, 49, 5.059
450, 1000, 50, 4.806
451, 1000, 51, 3.803
452, 1000, 52, 3.2
453, 1000, 53, 8.65
454, 1000, 54, 5.278
455, 1000, 55, 2.929
456, 1000, 56, 2.945
457, 1000, 57, 2.768
458, 1000, 58, 2.921
459, 1000, 59, 2.923
460, 1000, 60, 2.989
461, 1000, 61, 2.898
462, 1000, 62, 2.904
463, 1000, 63, 2.839
464, 1000, 64, 2.898
465, 1000, 65, 2.959
466, 1000, 66, 2.838
467, 1000, 67, 2.786
468, 1000, 68, 2.852
469, 1000, 69, 2.753
470, 1000, 70, 2.99
471, 1000, 71, 2.982
472, 1000, 72, 3.02
473, 1000, 73, 2.911
474, 1000, 74, 2.963
475, 1000, 75, 3.045
476, 1000, 76, 2.929
477, 1000, 77, 2.914
478, 1000, 78, 3.05
479, 1000, 79, 2.902
480, 1000, 80, 2.953
481, 1000, 81, 2.786
482, 1000, 82, 2.942
483, 1000, 83, 2.897
484, 1000, 84, 2.909
485, 1000, 85, 2.892
486, 1000, 86, 2.782
487, 1000, 87, 2.876
488, 1000, 88, 3.022
489, 1000, 89, 2.864
490, 1000, 90, 2.893
491, 1000, 91, 3.168
492, 1000, 92, 2.881
493, 1000, 93, 3.13
494, 1000, 94, 2.847
495, 1000, 95, 3.005
496, 1000, 96, 2.73
497, 1000, 97, 2.781
498, 1000, 98, 2.698
499, 1000, 99, 2.798
